"geneid_1","geneid_2","source"
86169,83732,"regulatory;signaling"
10231,45071,"regulatory;signaling"
25350,49001,"regulatory;signaling"
29719,85021,"regulatory;signaling"
50962,56560,"regulatory;signaling"
35156,85764,"regulatory;signaling"
61169,69477,"regulatory;signaling"
50951,61184,"regulatory;signaling"
32480,84756,"regulatory;signaling"
45453,78882,"regulatory;signaling"
66035,67661,"regulatory;signaling"
27424,69210,"regulatory;signaling"
35063,83427,"regulatory;signaling"
40283,87961,"regulatory;signaling"
89927,17703,"regulatory;signaling"
78301,70006,"regulatory;signaling"
78776,39825,"regulatory;signaling"
88072,62430,"regulatory;signaling"
41801,72709,"binary;literature"
71672,74582,"binary;literature"
28653,88947,"binary;literature"
34483,36618,"binary;literature"
51854,37819,"binary;literature"
71295,63535,"binary;literature"
87028,24697,"binary;literature"
77431,24763,"binary;literature"
80039,84174,"binary;literature"
51500,40301,"binary;literature"
37750,71587,"binary;literature"
64427,31311,"binary;literature"
49993,80799,"binary;literature"
48547,37190,"binary;literature"
36694,80988,"binary;literature"
47874,31213,"binary;literature"
12992,42561,"binary;literature"
57732,47994,"binary;literature"
15443,46301,"complexes;literature;metabolic"
12253,81369,"complexes;literature;metabolic"
43131,20055,"complexes;literature;metabolic"
62012,20302,"complexes;literature;metabolic"
28682,85566,"complexes;literature;metabolic"
58324,74503,"complexes;literature;metabolic"
62262,45676,"complexes;literature;metabolic"
36694,41905,"complexes;literature;metabolic"
83697,81355,"complexes;literature;metabolic"
58355,72273,"complexes;literature;metabolic"
22599,31074,"complexes;literature;metabolic"
80956,85776,"complexes;literature;metabolic"
13627,54410,"complexes;literature;metabolic"
68759,75440,"literature;signaling"
88616,63081,"literature;signaling"
50248,44207,"literature;signaling"
11052,41442,"literature;signaling"
58966,54519,"literature;signaling"
82818,48930,"literature;signaling"
47612,17094,"literature;signaling"
21566,28246,"literature;signaling"
64372,32331,"literature;signaling"
77833,60011,"literature;signaling"
47256,31897,"literature;signaling"
11931,41078,"literature;signaling"
48869,85767,"literature;signaling"
55639,54376,"literature;signaling"
29969,26140,"literature;signaling"
44973,32429,"literature;signaling"
22362,60022,"literature;signaling"
78882,36036,"binary;literature;complexes"
85723,72919,"binary;literature;complexes"
72919,85681,"binary;literature;complexes"
81303,26578,"binary;literature;complexes"
78989,34936,"binary;literature;complexes"
54279,44108,"binary;literature;complexes"
31770,57304,"binary;literature;complexes"
67058,43609,"binary;literature;complexes"
42939,41587,"binary;literature;complexes"
87160,52939,"binary;literature;complexes"
84422,25951,"binary;literature;complexes"
68950,62318,"binary;literature;complexes"
59043,86951,"binary;literature;complexes"
29634,81845,"binary;literature;complexes"
47226,85164,"binary;literature;complexes"
10085,37939,"binary;literature;complexes"
82135,89555,"binary;literature;complexes"
56641,36801,"literature;signaling;metabolic"
55265,22561,"literature;signaling;metabolic"
20183,70508,"literature;signaling;metabolic"
15135,62800,"literature;signaling;metabolic"
69297,65307,"literature;signaling;metabolic"
25553,78672,"literature;signaling;metabolic"
44243,31632,"literature;signaling;metabolic"
22737,48641,"literature;signaling;metabolic"
31164,23545,"literature;signaling;metabolic"
19267,14528,"literature;signaling;metabolic"
62546,34917,"literature;signaling;metabolic"
10739,61787,"literature;signaling;metabolic"
80297,61818,"literature;signaling;metabolic"
88414,44318,"literature;signaling;metabolic"
62318,60609,"literature;signaling;metabolic"
54274,43483,"literature;signaling;metabolic"
73291,68401,"literature;signaling;metabolic"
44389,43576,"literature;signaling;metabolic"
25496,24820,"literature;signaling;metabolic"
53640,38732,"literature;signaling;metabolic"
21057,56989,"literature;signaling;metabolic"
22644,17537,"literature;signaling;metabolic"
71807,13113,"literature;signaling;metabolic"
87602,41607,"literature;signaling;metabolic"
38793,15081,"literature;signaling;metabolic"
15356,19916,"metabolic"
76190,50010,"metabolic"
79445,81480,"metabolic"
32737,12950,"metabolic"
58941,62822,"metabolic"
40434,69145,"metabolic"
24594,75430,"metabolic"
50842,64819,"metabolic"
22879,68581,"metabolic"
32952,17807,"metabolic"
89643,75383,"metabolic"
29498,19889,"metabolic"
71100,66573,"metabolic"
62006,18895,"metabolic"
34519,60702,"metabolic"
73969,52730,"metabolic"
16824,20377,"metabolic"
82003,58197,"binary;metabolic"
44783,65526,"binary;metabolic"
88818,76252,"binary;metabolic"
23808,14616,"binary;metabolic"
11444,25372,"binary;metabolic"
78674,51577,"binary;metabolic"
50027,22749,"binary;metabolic"
17018,11286,"binary;metabolic"
41159,25129,"binary;metabolic"
62646,64046,"binary;metabolic"
61797,40781,"binary;metabolic"
85232,32412,"binary;metabolic"
28758,74194,"binary;metabolic"
80065,72056,"binary;metabolic"
37827,35156,"binary;metabolic"
43269,86902,"binary;metabolic"
88870,62388,"binary;metabolic"
