"uniprot_ac",entrez_id,uniprot_ac_reviewed
"P31946",7529,1
"P62258",7531,1
"Q04917",7533,1
"P61981",7532,1
"P31947",2810,1
"P27348",10971,1
"P63104",7534,1
"P30443",3105,1
"P01892",3105,1
"P04439",3105,1
"P13746",3105,1
"Q96QU6",84680,1
"Q4AC99",390110,1
"P05534",3105,1
"P18462",3105,1
"P30450",3105,1
"P16188",3105,1
"P30453",3105,1
"P30455",3105,1
"P30456",3105,1
"P30457",3105,1
"P01891",3105,1
"P10316",3105,1
"Q09160",3105,1
"P01889",3106,1
"P30466",3106,1
"P30685",3106,1
"P18463",3106,1
"Q04826",3106,1
"P30480",3106,1
"P30486",3106,1
"P18464",3106,1
"P30491",3106,1
"P30492",3106,1
"P30493",3106,1
"P30495",3106,1
"Q29940",3106,1
"Q29836",3106,1
"Q31612",3106,1
"P30498",3106,1
"Q31610",3106,1
"Q29718",3106,1
"P10321",3107,1
"Q15172",5525,1
"Q15173",5526,1
"Q14738",5528,1
"Q16537",5529,1
"Q13362",5527,1
"P30153",5518,1
"P30154",5519,1
"P63151",5520,1
"Q00005",5521,1
"Q66LE6",55844,1
"Q9Y2T4",5522,1
"P04229",3123,1
"P01912",3123,1
"Q30134",3123,1
"P20039",3123,1
"Q95IE3",3123,1
"Q5Y7A7",3123,1
"Q9GIY3",3123,1
"P01911",3123,1
"Q29974",3123,1
"P14060",3283,1
"P26439",3284,1
"Q9H2F3",80270,1
"Q9Y3L3",23616,1
"P78314",6452,1
"Q7L8J4",80851,1
"O60239",9467,1
"P46952",23498,1
"P31937",11112,1
"P29372",4350,1
"P11171",2035,1
"Q13541",1978,1
"Q13542",1979,1
"O60516",8637,1
"Q9NRA8",56478,1
"P08195",6520,1
"P08908",3350,1
"P28222",3351,1
"P28221",3352,1
"P28566",3354,1
"P30939",3355,1
"P28223",3356,1
"P41595",3357,1
"P28335",3358,1
"P46098",3359,1
"O95264",9177,1
"Q8WXA8",170572,1
"Q70Z44",200909,1
"A5X5Y0",285242,1
"Q13639",3360,1
"P47898",3361,1
"P50406",3362,1
"P34969",3363,1
"Q9BXI3",84618,1
"Q96P26",100526794,1
"Q96P26",93034,1
"Q9H0P0",51251,1
"Q969T7",115024,1
"P49902",22978,1
"P21589",4907,1
"P56378",9556,1
"P52209",5226,1
"O95336",25796,1
"P05408",6447,1
"P36639",4521,1
"P0DKL9",644100,1
"Q8IZ83",126133,1
"Q676U5",55054,1
"Q8NAA4",89849,1
"P02763",5004,1
"P19652",5005,1
"P01009",5265,1
"P04217",1,1
"Q9NQ94",29974,1
"Q5TYW2",84210,1
"Q5SQ80",441430,1
"Q5VUR7",441425,1
"Q4UJ75",728747,1
"P08697",5345,1
"P02750",116844,1
"P01023",2,1
"A8K2U0",144568,1
"Q9NPC4",53947,1
"Q9UNA3",51146,1
"P05067",351,1
"Q96GX2",552889,1
"P30542",134,1
"P29274",135,1
"P29275",136,1
"Q6P2N6",57413,1
"P33765",140,1
"P33765",57413,1
"Q9NS82",56301,1
"P22760",13,1
"Q9NRG9",8086,1
"Q15758",6510,1
"Q86V21",65985,1
"P01011",12,1
"Q8N5Z0",51166,1
"Q7RTV5",195827,1
"Q6PD74",79719,1
"Q2M2I8",22848,1
"Q9Y478",5564,1
"O43741",5565,1
"P54619",5571,1
"Q9UGJ0",51422,1
"Q9UGI9",53632,1
"Q9H7C9",28971,1
"Q13685",14,1
"Q13131",5562,1
"P54646",5563,1
"Q9Y312",25980,1
"Q4LEZ3",441376,1
"Q9BTE6",100885850,1
"Q9BTE6",80755,1
"Q9UDR5",10157,1
"Q8NHS2",137362,1
"P17174",2805,1
"Q9NY61",26574,1
"P00505",2806,1
"Q7Z5M8",145447,1
"Q96GS6",81926,1
"Q5VST6",51104,1
"Q6PCB6",58489,1
"Q7Z5R6",54518,1
"P31941",100913187,1
"P31941",200315,1
"Q9UH17",9582,1
"Q9NRW3",27350,1
"Q96AK3",140564,1
"Q8IUX4",200316,1
"Q9HC16",60489,1
"Q6NTF7",164668,1
"O95477",19,1
"Q9BZC7",20,1
"Q99758",21,1
"P78363",24,1
"Q8WWZ7",23461,1
"Q8N139",23460,1
"Q8IZY2",10347,1
"O94911",10351,1
"Q8IUA7",10350,1
"Q8WWZ4",10349,1
"Q86UK0",26154,1
"Q86UQ4",154664,1
"Q2M3G0",340273,1
"Q9NP58",10058,1
"O75027",22,1
"Q9NUT2",11194,1
"Q9NP78",23457,1
"Q9NRK6",23456,1
"O95342",8647,1
"Q09428",6833,1
"O60706",10060,1
"Q96J66",85320,1
"P33897",215,1
"Q9UBJ2",225,1
"P28288",5825,1
"O14678",5826,1
"P61221",6059,1
"Q8NE71",23,1
"Q9UG63",10061,1
"Q9NUQ8",55324,1
"P45844",9619,1
"Q9UNQ0",9429,1
"Q9H172",64137,1
"Q9H222",64240,1
"Q9H221",64241,1
"Q8N2K0",26090,1
"P41238",339,1
"Q9Y235",10930,1
"Q8WW27",403314,1
"Q6UXT9",116236,1
"Q96SE0",84696,1
"P08910",11057,1
"Q8WU67",171586,1
"Q8TB40",63874,1
"Q8WTS1",51099,1
"Q9BV23",57406,1
"Q96I13",79575,1
"Q9NUJ1",55347,1
"Q8NFV4",83451,1
"Q7L211",84945,1
"Q9BUJ0",25864,1
"Q96IU4",84836,1
"O95870",7920,1
"Q9H3Z7",140701,1
"Q8IZP0",10006,1
"Q9NYB9",10152,1
"Q9P2A4",51225,1
"P00519",25,1
"P42684",27,1
"O14639",3983,1
"Q6H8Q1",84448,1
"O94929",22885,1
"Q9P1F3",58527,1
"Q8N0Z2",137735,1
"Q12979",29,1
"Q9ULW3",29777,1
"Q969K4",80325,1
"Q8N961",25841,1
"Q13085",31,1
"O00763",32,1
"Q9UKU7",27034,1
"Q9H845",28976,1
"P28330",33,1
"P11310",34,1
"P16219",35,1
"P49748",37,1
"Q15027",9744,1
"Q15057",23527,1
"Q96P50",116983,1
"O00400",9197,1
"Q8NC06",79777,1
"Q5T8D3",91452,1
"Q9BR61",84320,1
"Q8N6N7",414149,1
"Q96GR2",23205,1
"Q5FVE4",81616,1
"P07108",1622,1
"Q6JQN1",80724,1
"Q709F0",84129,1
"P45954",36,1
"Q96AP0",65057,1
"Q9BYF1",59272,1
"Q8TDN7",125981,1
"Q5QJU3",340485,1
"Q9NUN7",55331,1
"P22303",43,1
"P12821",1636,1
"Q9GZZ6",57053,1
"Q15822",1135,1
"P32297",1136,1
"P43681",1137,1
"P30532",1138,1
"Q15825",8973,1
"P36544",1139,1
"P36544",89832,1
"Q9UGM1",55584,1
"P02708",1134,1
"P17787",1141,1
"Q05901",1142,1
"P30926",1143,1
"P11230",1140,1
"Q07001",1144,1
"Q04844",1145,1
"P07510",1146,1
"Q9UKV3",22985,1
"Q07912",10188,1
"Q16570",2532,1
"O00590",1238,1
"P25106",57007,1
"Q9NPB9",51554,1
"Q5JWF8",170487,1
"O96019",86,1
"O94805",51412,1
"Q9Y615",10881,1
"Q9Y614",10880,1
"P53396",47,1
"P11229",1128,1
"P08172",1129,1
"P20309",1131,1
"P08173",1132,1
"P08912",1133,1
"Q8TDX5",130013,1
"Q8WXI4",26027,1
"Q8WYK0",134526,1
"Q9NPJ3",55856,1
"Q8N1Q8",284486,1
"P21399",48,1
"O00767",6319,1
"Q99798",50,1
"Q86TX2",641371,1
"P49753",10965,1
"Q8N9L9",122970,1
"Q3I5F7",641372,1
"O14734",10005,1
"Q9Y305",23597,1
"Q15067",51,1
"Q99424",8309,1
"O15254",8310,1
"Q9NUZ1",55289,1
"P13798",327,1
"O14561",4706,1
"Q8NEB7",84519,1
"Q96QF7",93953,1
"P10323",49,1
"Q08AH3",123876,1
"Q68CK6",348158,1
"Q9NUB1",84532,1
"Q9NR19",55902,1
"Q96CM8",80221,1
"Q4G176",197322,1
"Q4L235",132949,1
"P33121",2180,1
"O95573",2181,1
"O60488",2182,1
"Q9ULC5",51703,1
"Q9UKU0",23305,1
"Q08AH1",116285,1
"Q53FZ2",6296,1
"P0C7M7",341392,1
"Q6NUN0",54988,1
"Q6P461",142827,1
"Q9H6R3",79611,1
"P62736",59,1
"Q562R1",345651,1
"P60709",60,1
"P68032",70,1
"P63261",71,1
"Q01718",4158,1
"P63267",72,1
"Q9H568",81569,1
"Q8TC94",284382,1
"P12814",87,1
"P35609",88,1
"Q08043",89,1
"O43707",81,1
"P68133",58,1
"Q8TDG2",139741,1
"Q8TDY3",140625,1
"Q9BYD9",84517,1
"P42025",10120,1
"P61163",10121,1
"P36896",91,1
"Q8NER5",130399,1
"P37023",94,1
"Q04771",90,1
"Q03154",95,1
"P45381",443,1
"Q96HD9",91703,1
"P07311",97,1
"P14621",98,1
"O14672",102,1
"O75078",4185,1
"O43184",8038,1
"Q13444",8751,1
"P78536",6868,1
"Q9Y3Q7",8749,1
"Q9H013",8728,1
"P35348",148,1
"P35368",147,1
"P25100",146,1
"O43506",8748,1
"Q9UKJ8",8747,1
"Q9P0K1",53616,1
"O75077",8745,1
"Q9UKQ2",10863,1
"Q9UKF5",11086,1
"P08913",150,1
"P18089",151,1
"P18825",152,1
"Q9UKF2",11085,1
"Q8TC27",203102,1
"Q9BZ11",80332,1
"Q96M93",132612,1
"Q8NCV1",161931,1
"Q6DHV7",161823,1
"Q99965",2515,1
"Q9H2U9",8756,1
"P78325",101,1
"Q13443",8754,1
"O75689",11033,1
"Q9NPF8",55803,1
"O00116",8540,1
"Q9BUB4",23536,1
"Q7Z6V5",134637,1
"Q96EY9",113179,1
"P00813",100,1
"Q86TW2",57143,1
"Q7Z695",90956,1
"Q8NI60",56997,1
"Q96D53",79934,1
"Q3MIX3",203054,1
"Q6P093",344752,1
"Q5VUY0",126767,1
"Q5VUY2",343066,1
"Q08828",107,1
"Q08462",108,1
"O60266",109,1
"Q8NFM4",196883,1
"O95622",111,1
"O43306",112,1
"P51828",113,1
"P40145",114,1
"O60503",115,1
"Q96PN6",55811,1
"P35611",118,1
"P35612",119,1
"Q9UEY8",120,1
"O15204",27299,1
"Q8N7X0",79747,1
"P07327",124,1
"P00325",125,1
"P00326",126,1
"P08319",127,1
"P28332",130,1
"P40394",131,1
"P11766",128,1
"Q0VDE8",149685,1
"Q5T7M4",388581,1
"Q15848",9370,1
"Q9Y2D8",117178,1
"Q15847",10974,1
"P55263",132,1
"Q7Z4H4",79924,1
"C9JUS6",199800,1
"P35318",133,1
"Q6IQ32",22850,1
"Q9H2P0",23394,1
"Q9BRR6",83440,1
"Q9NRN7",60496,1
"P54922",141,1
"Q3LIE5",56985,1
"Q96A54",51094,1
"Q86V24",79602,1
"P08588",153,1
"P07550",154,1
"P13945",155,1
"Q16186",11047,1
"P22570",2232,1
"Q9Y6U3",85477,1
"P12235",291,1
"P05141",292,1
"P12236",293,1
"Q9H0C2",83447,1
"Q96IZ2",84830,1
"Q6P4F2",112812,1
"P10109",2230,1
"Q8IUX7",165,1
"Q6ZN18",121536,1
"Q96SZ5",84890,1
"Q6UXC1",158056,1
"Q8WTP8",64782,1
"Q08117",166,1
"P55197",8028,1
"P55198",4302,1
"Q8TED9",134265,1
"Q8N4X5",84632,1
"Q13015",10962,1
"P42568",4300,1
"P55196",4301,1
"P43652",173,1
"Q8N556",60312,1
"P51825",4299,1
"P51816",2334,1
"P51826",3899,1
"Q9UHB7",27125,1
"Q9Y4W6",10939,1
"Q6ULP2",54812,1
"Q5BKT4",84920,1
"Q5I7T1",144245,1
"C9J202",644974,1
"Q8TF27",119385,1
"P06280",2717,1
"Q9UPQ3",116987,1
"Q99490",116986,1
"Q96P47",116988,1
"Q96P64",119016,1
"A6NIR3",729092,1
"Q5VW22",414189,1
"Q5VUJ5",653268,1
"Q5VTM2",642517,1
"P52594",3267,1
"O95081",3268,1
"Q8N302",55109,1
"Q53H12",55750,1
"O95394",5238,1
"Q9UL18",26523,1
"Q9UKV8",27161,1
"Q9H9G7",192669,1
"Q9HCK5",192670,1
"O95994",10551,1
"Q8TD06",155465,1
"O00468",375790,1
"O00253",181,1
"Q9BYV1",64902,1
"P30556",185,1
"P50052",186,1
"Q5TGY3",27245,1
"Q8N157",54806,1
"Q8IVF2",113146,1
"Q09666",79026,1
"A9YTQ3",57491,1
"P35869",196,1
"O95433",10598,1
"Q719I0",130872,1
"Q9NZD4",51327,1
"Q9GZX7",57379,1
"Q96BJ3",64853,1
"Q9BQI0",83543,1
"P55008",199,1
"O95831",9131,1
"Q9BRQ8",84883,1
"Q96NN9",150209,1
"Q9NVV5",51390,1
"Q8N1P7",55057,1
"Q9Y4K1",202,1
"O14862",9447,1
"Q12904",9255,1
"Q13155",7965,1
"Q16352",9118,1
"Q9NZN9",23746,1
"O00170",9049,1
"O43918",326,1
"Q9UKB5",55966,1
"Q96IF1",84962,1
"Q02040",8227,1
"P14550",10327,1
"O60218",57016,1
"C9JRZ8",441282,1
"Q04828",1645,1
"P52895",1646,1
"P42330",8644,1
"P17516",1109,1
"P51857",6718,1
"O43572",11216,1
"Q9UKA4",11215,1
"Q02952",9590,1
"Q86UN6",158798,1
"O43687",9465,1
"Q9P0M2",9465,1
"Q92667",8165,1
"Q9Y2D5",11217,1
"Q9Y2D5",445815,1
"O75969",10566,1
"Q5JQC9",8852,1
"P24588",9495,1
"Q13023",9472,1
"O43823",10270,1
"Q99996",10142,1
"Q96JD6",83592,1
"Q495B1",348094,1
"A6NHY2",728780,1
"Q9P2G1",54467,1
"Q9NQ31",56672,1
"Q9NWT8",54998,1
"Q9H9L7",79647,1
"Q53H80",55122,1
"Q7Z591",80709,1
"Q5T1N1",254268,1
"Q12802",11214,1
"Q9ULX6",26993,1
"P31749",207,1
"P31751",208,1
"Q9Y243",10000,1
"Q9H8T0",64400,1
"Q96B36",84335,1
"Q8N8R7",120534,1
"P00352",216,1
"O94788",8854,1
"P47895",220,1
"P30837",219,1
"O75891",10840,1
"Q3SY69",160428,1
"Q60I27",259173,1
"Q53TS8",151254,1
"Q96Q35",130540,1
"P30838",218,1
"P51648",224,1
"P43353",221,1
"P48448",222,1
"P30038",8659,1
"P20292",241,1
"P49419",501,1
"Q9H2A2",64577,1
"P49189",223,1
"P24298",2875,1
"Q8TD30",84706,1
"P02768",213,1
"P05091",217,1
"P04075",226,1
"P05062",229,1
"P09972",230,1
"P15121",231,1
"P84996",2778,1
"Q2TAA5",440138,1
"Q9BV10",79087,1
"Q9NP73",79868,1
"Q96F25",199857,1
"Q6GMV1",200810,1
"Q9BT22",56052,1
"Q9H553",85365,1
"Q92685",10195,1
"Q9Y673",29880,1
"Q9Y672",29929,1
"Q9BVK2",79053,1
"Q9H6U8",79796,1
"Q13686",8846,1
"Q6NS38",121642,1
"Q96Q83",221120,1
"Q9NXW9",54784,1
"Q6P6C2",54890,1
"Q3KRA9",84964,1
"Q9BT30",84266,1
"Q96BT7",91801,1
"Q6ZNB7",392636,1
"Q9UM73",238,1
"Q8N6M5",55821,1
"Q8TCU4",7840,1
"Q96QP1",80216,1
"Q86TB3",115701,1
"Q96L96",57538,1
"P55789",2671,1
"Q96Q42",57679,1
"P35858",3483,1
"Q15699",8092,1
"O95076",257,1
"Q9H161",60529,1
"Q9UHK6",23600,1
"Q9NP70",258,1
"P02760",259,1
"P19021",5066,1
"Q99217",265,1
"Q99218",266,1
"Q5JTC6",139285,1
"Q8N7J2",219287,1
"Q8N944",205147,1
"Q6DCA0",83607,1
"Q9UKV5",267,1
"Q86WK6",57463,1
"Q86SJ2",347902,1
"Q86WK7",386724,1
"Q16671",269,1
"Q9Y4X0",9949,1
"Q8IY45",196394,1
"Q9BXJ7",81693,1
"Q8IY63",154810,1
"Q9Y2J4",51421,1
"Q4VCS5",154796,1
"Q9H4A4",6051,1
"P23109",270,1
"Q01433",271,1
"Q01432",272,1
"Q07075",2028,1
"P49418",273,1
"P28838",51056,1
"P15144",290,1
"Q8N6M6",84909,1
"Q6Q4G3",206338,1
"Q9C0C7",55626,1
"P30533",4043,1
"Q6UX39",401138,1
"P04745",276,1
"P04745",277,1
"P04745",278,1
"P19961",280,1
"P04746",279,1
"Q400G9",155185,1
"Q86W34",51321,1
"Q8IZ07",88455,1
"Q86YJ7",124930,1
"Q8N6S4",81573,1
"Q6ZTN6",338692,1
"Q8IVF6",253650,1
"Q9BXX3",91074,1
"Q9BXX2",374860,1
"P39687",8125,1
"Q92688",10541,1
"O43423",23520,1
"O95626",23519,1
"Q9BTT0",81611,1
"A6NCL7",651746,1
"Q69YU3",284615,1
"A5PLL1",340120,1
"P0C6C1",390616,1
"A6QL64",375248,1
"Q8N2N9",57730,1
"P54802",4669,1
"Q9UJX6",29882,1
"Q96K21",84936,1
"P10275",367,1
"P16860",4879,1
"P23582",4880,1
"Q9P2R3",51479,1
"P01160",4878,1
"Q9UNK9",23357,1
"Q5VTE6",90806,1
"P03950",283,1
"O95841",9068,1
"Q9UKU9",23452,1
"Q9Y5C1",27329,1
"Q9BY76",51129,1
"Q86XS5",253935,1
"Q8NI99",83854,1
"O43827",10218,1
"Q15389",284,1
"O15123",285,1
"Q9Y264",51378,1
"P01019",183,1
"E9PGG2",647589,1
"P16157",286,1
"Q01484",287,1
"Q12955",288,1
"Q7Z5J8",150709,1
"Q9NU02",63926,1
"Q8N957",162282,1
"Q8IWZ3",404734,1
"Q8IWZ3",54882,1
"Q9HCJ1",56172,1
"Q8NFD2",255239,1
"Q8NAG6",126549,1
"Q86XL3",23141,1
"Q15327",27063,1
"Q9GZV1",26287,1
"Q9Y2G4",22881,1
"Q92527",56311,1
"Q96BM1",122416,1
"Q6ZW76",124401,1
"Q68DC2",203286,1
"A6NFN9",389161,1
"Q9P2S6",51281,1
"Q8IV38",57037,1
"Q9H8Y5",55139,1
"Q9NQW6",54443,1
"Q99873",3276,1
"P55345",3275,1
"O60678",10196,1
"O14744",10419,1
"Q96LA8",55170,1
"Q9NVM4",54496,1
"Q9NR22",56341,1
"Q6P2P2",90826,1
"Q9NW15",55129,1
"Q5XXA6",55107,1
"Q9NQ90",57101,1
"Q9BYT9",63982,1
"Q32M45",121601,1
"Q75V66",203859,1
"Q4KMQ2",196527,1
"Q6IWH7",50636,1
"Q9HCE9",57719,1
"A1A5B4",338440,1
"P16066",4881,1
"P20594",4882,1
"P17342",4883,1
"Q9NXR5",55608,1
"Q6UB99",29123,1
"Q6UB98",23253,1
"Q6P6B7",54522,1
"O75179",26057,1
"Q5VYY1",118932,1
"Q86SG2",200539,1
"Q8TF21",170961,1
"Q9UPS8",22852,1
"Q96NW4",84079,1
"O15084",23243,1
"Q8N6D5",147463,1
"Q8N7Z5",256006,1
"Q9BQI6",84250,1
"Q7Z3H0",341405,1
"Q8N283",148741,1
"Q7Z713",353322,1
"Q53RE8",51239,1
"Q6AI12",91369,1
"Q8N9B4",338699,1
"Q8N8A2",91526,1
"Q5TZF3",339416,1
"Q86W74",157567,1
"Q8WVL7",54851,1
"Q9ULJ7",57182,1
"Q8NB46",283373,1
"Q8N9V6",79998,1
"Q6NXT1",129138,1
"Q3KP44",79722,1
"A6NGH8",100310846,1
"A6NC57",342850,1
"C9JTQ0",100131244,1
"E5RJM6",441869,1
"B4E2M5",100287718,1
"Q9H9E1",57763,1
"Q92625",23294,1
"Q7Z6G8",56899,1
"Q8N8V4",257629,1
"P01008",462,1
"Q9H6X2",84168,1
"P58335",118429,1
"A6NF34",195977,1
"Q9UJ72",11199,1
"P50995",311,1
"P27216",312,1
"P04083",301,1
"P07355",302,1
"P12429",306,1
"P09525",307,1
"P08758",308,1
"P08133",309,1
"P20073",310,1
"P13928",653145,1
"P13928",728113,1
"O76027",8416,1
"P28039",313,1
"P19801",26,1
"O75106",314,1
"Q16853",8639,1
"P21397",4128,1
"P27338",4129,1
"Q06278",316,1
"O60641",9892,1
"Q63HQ0",55435,1
"Q10567",162,1
"O43747",164,1
"O75843",8906,1
"Q9BXS5",8907,1
"Q9Y6Q5",10053,1
"P61966",1174,1
"P56377",8905,1
"Q96PC3",130340,1
"O95782",160,1
