"uniprot_ac",entrez_id,uniprot_ac_reviewed
"Q9CQV8",54401,1
"P62259",22627,1
"P68510",22629,1
"P61982",22628,1
"O70456",55948,1
"P68254",102634437,1
"P68254",22630,1
"P63101",22631,1
"A2AIG8",329470,1
"Q3UX83",381411,1
"Q6PD03",226849,1
"Q61151",26932,1
"Q60996",26931,1
"Q76MZ3",51792,1
"Q7TNP2",73699,1
"Q6P1F6",71978,1
"Q6ZWR4",72930,1
"Q925E7",52432,1
"Q8BG02",269643,1
"P24815",15492,1
"P26149",15493,1
"P26150",15494,1
"Q61767",100043456,1
"Q61767",15495,1
"Q61694",15496,1
"O35469",15497,1
"Q9EQC1",101502,1
"Q99LH9",79566,1
"Q9Z131",24056,1
"Q78JT3",107766,1
"Q99L13",58875,1
"Q04841",268395,1
"P48193",269587,1
"Q60876",13685,1
"P70445",13688,1
"Q80VV3",108112,1
"Q9EST3",74203,1
"P10852",17254,1
"Q64264",15550,1
"P28334",15551,1
"Q61224",15552,1
"Q02284",15557,1
"P35363",15558,1
"Q02152",15559,1
"P34968",15560,1
"P23979",15561,1
"Q9JHJ5",57014,1
"P97288",15562,1
"P30966",15563,1
"Q9R1C8",15565,1
"P32304",15566,1
"A3KFX0",230718,1
"Q91YE9",70881,1
"Q9D020",107569,1
"Q3UFY7",68106,1
"Q3V1L4",76952,1
"Q61503",23959,1
"P56379",70257,1
"Q9DCD0",110208,1
"Q9CQ60",66171,1
"P12961",20394,1
"P53368",17766,1
"Q3UKZ7",381142,1
"Q571I9",69748,1
"Q8C0J2",77040,1
"Q6KAU8",73683,1
"Q60590",18405,1
"P07361",18406,1
"P07758",20700,1
"P22599",20701,1
"Q00896",20702,1
"Q00897",20703,1
"Q00898",20704,1
"Q9DCQ7",68348,1
"Q19LI2",117586,1
"Q5YD48",69865,1
"Q61247",18816,1
"Q6GQT1",232345,1
"Q61838",11287,1
"Q3V1N9",215493,1
"Q67BJ4",239559,1
"P12023",11820,1
"Q3UD01",382423,1
"Q60612",11539,1
"Q60613",11540,1
"Q60614",11541,1
"P63115",53896,1
"Q99PG0",67758,1
"P58742",223921,1
"Q9D2R0",78894,1
"Q9WVM8",23923,1
"Q9D1A0",66129,1
"Q8R2R3",66939,1
"Q3UHJ0",269774,1
"Q9R078",19079,1
"Q6PAM0",108097,1
"O54950",19082,1
"Q91WG5",108099,1
"Q8BGM7",241113,1
"Q8R0P4",66273,1
"Q5EG47",105787,1
"Q8BRK8",108079,1
"Q9D2V5",68295,1
"Q811W1",239435,1
"Q3THG9",69684,1
"Q99K67",30956,1
"Q7TSV6",76615,1
"P05201",14718,1
"Q9JKX4",56321,1
"P05202",14719,1
"Q99JW1",216169,1
"Q7M759",226016,1
"Q8VCV1",70178,1
"Q8R5A3",54519,1
"Q8K442",217258,1
"Q8K440",27404,1
"P41233",11303,1
"Q8R420",27410,1
"O35600",11304,1
"Q8K448",217265,1
"Q8K441",76184,1
"Q91V24",27403,1
"Q8K449",217262,1
"Q5SSE9",268379,1
"B5X0E4",77706,1
"Q9DC29",74104,1
"Q61102",11306,1
"Q9CXJ4",74610,1
"Q9JJ59",56325,1
"Q9JI39",56199,1
"Q9QY30",27413,1
"P70170",20928,1
"P48410",11666,1
"Q61285",26874,1
"P55096",19299,1
"O89016",19300,1
"P61222",24015,1
"Q6P542",224742,1
"Q99LE6",27407,1
"Q8K268",27406,1
"Q64343",11307,1
"Q7TMS5",26357,1
"Q99P81",27405,1
"Q99PE8",27409,1
"Q9DBM0",67470,1
"Q99LR1",76192,1
"P51908",11810,1
"Q9WV35",11811,1
"Q99J72",80287,1
"Q5F2F2",67477,1
"Q9QZC8",57742,1
"Q9QXM0",54608,1
"Q91ZH7",106861,1
"Q8VD66",105501,1
"Q9DBL9",67469,1
"Q8R2Y0",66082,1
"Q8R0P8",64296,1
"Q6PE15",213012,1
"Q8K4F5",68758,1
"Q80UX8",68904,1
"Q9Z1Q2",193742,1
"Q80YU0",241850,1
"Q8CBW3",11308,1
"P62484",329165,1
"Q8BYZ1",66610,1
"P00520",11350,1
"Q8K4G5",226251,1
"Q8BL65",231148,1
"Q69ZX8",319713,1
"Q4KML4",73112,1
"Q8BUZ1",223513,1
